title,doi
Global monitoring of antimicrobial resistance based on metagenomics analyses of urban sewage,https://doi.org/10.1038/s41467-019-08853-3
"Antimicrobial resistance in humans, livestock and the wider environment",https://doi.org/10.1098/rstb.2014.0083
Achieving global targets for antimicrobial resistance,https://doi.org/10.1126/science.aaf9286
Sources of Antimicrobial Resistance,https://doi.org/10.1126/science.1243444
Using sewage for surveillance of antimicrobial resistance,https://doi.org/10.1126/science.aba3432
Policy: An intergovernmental panel on antimicrobial resistance,https://doi.org/10.1038/509555a
Global governance of antimicrobial resistance,https://doi.org/10.1016/s0140-6736(18)31117-6
The role of ‘filth flies’ in the spread of antimicrobial resistance,https://doi.org/10.1016/j.tmaid.2018.02.007
The rumen microbiome as a reservoir of antimicrobial resistance and pathogenicity genes is directly affected by diet in beef cattle,https://doi.org/10.1186/s40168-017-0378-z
PERSPECTIVE: Evolutionary biology and the avoidance of antimicrobial resistance,https://doi.org/10.1111/j.1752-4571.2008.00066.x
Genomic analysis of sewage from 101 countries reveals global landscape of antimicrobial resistance,https://doi.org/10.1038/s41467-022-34312-7
3D bioprinting of mature bacterial biofilms for antimicrobial resistance drug testing,https://doi.org/10.1088/1758-5090/ab37a0
Key considerations on the potential impacts of the COVID-19 pandemic on antimicrobial resistance research and surveillance,https://doi.org/10.1093/trstmh/trab048
Clinically relevant antimicrobial resistance at the wildlife–livestock–human interface in Nairobi: an epidemiological study,https://doi.org/10.1016/s2542-5196(19)30083-x
Quantifying the transmission of antimicrobial resistance at the human and livestock interface with genomics,https://doi.org/10.1016/j.cmi.2020.09.019
Antimicrobial resistance research in a post-pandemic world: Insights on antimicrobial resistance research in the COVID-19 pandemic,https://doi.org/10.1016/j.jgar.2021.02.013
Assignment of virus and antimicrobial resistance genes to microbial hosts in a complex microbial community by combined long-read assembly and proximity ligation,https://doi.org/10.1186/s13059-019-1760-x
The prevalence of antimicrobial resistance in human faecal flora in South Africa,https://doi.org/10.1017/s0950268800056922
"Measuring the global response to antimicrobial resistance, 2020–21: a systematic governance analysis of 114 countries",https://doi.org/10.1016/s1473-3099(22)00796-4
Antimicrobial resistance and characterisation of staphylococci isolated from healthy Labrador retrievers in the United Kingdom,https://doi.org/10.1186/1746-6148-10-17
Serotypes/groups distribution and antimicrobial resistance of invasive pneumococcal isolates: implications for vaccine strategies,https://doi.org/10.1017/s0950268800004787
Prevalence and patterns of antimicrobial resistance among Escherichia coli isolated from Zambian dairy cattle across different production systems,https://doi.org/10.1038/srep12439
Antimicrobial resistance risk factors and characterisation of faecal E. coli isolated from healthy Labrador retrievers in the United Kingdom,https://doi.org/10.1016/j.prevetmed.2015.01.013
Beyond Antimicrobial Resistance: Evidence for a Distinct Role of the AcrD Efflux Pump in <i>Salmonella</i> Biology,https://doi.org/10.1128/mbio.01916-16
Secrets of the Hospital Underbelly: Patterns of Abundance of Antimicrobial Resistance Genes in Hospital Wastewater Vary by Specific Antimicrobial and Bacterial Family,https://doi.org/10.3389/fmicb.2021.703560
Antimicrobial Resistance and Machine Learning: Challenges and Opportunities,https://doi.org/10.1109/access.2022.3160213
One Health: a multifaceted concept combining diverse approaches to prevent and control antimicrobial resistance,https://doi.org/10.1016/j.cmi.2020.07.012
The pandemic legacy of antimicrobial resistance in the USA,https://doi.org/10.1016/s2666-5247(22)00227-0
Will the Overuse of Antibiotics During the Coronavirus Pandemic Accelerate Antimicrobial Resistance of Bacteria?,https://doi.org/10.1097/im9.0000000000000034
The successful uptake and sustainability of rapid infectious disease and antimicrobial resistance point-of-care testing requires a complex ‘mix-and-match’ implementation package,https://doi.org/10.1007/s10096-019-03492-4
Non-invasive pneumococcal disease and antimicrobial resistance: vaccine implications,https://doi.org/10.1017/s0950268801006331
"Molecular epidemiology and antimicrobial resistance pattern of extended-spectrum- -lactamase-producing Enterobacteriaceae in Glasgow, Scotland",https://doi.org/10.1093/jac/dkr523
Antimicrobial resistance in hospital wastewater in Scotland: a cross-sectional metagenomics study,https://doi.org/10.1016/s0140-6736(19)32798-9
Antimicrobial Resistance Situational Analysis 2019–2020: Design and Performance for Human Health Surveillance in Uganda,https://doi.org/10.3390/tropicalmed6040178
Addressing antimicrobial resistance by improving access and quality of care—A review of the literature from East Africa,https://doi.org/10.1371/journal.pntd.0009529
Diagnostics and the challenge of antimicrobial resistance: a survey of UK livestock veterinarians’ perceptions and practices,https://doi.org/10.1136/vr.105822
Epigenetic-Mediated Antimicrobial Resistance: Host versus Pathogen Epigenetic Alterations,https://doi.org/10.3390/antibiotics11060809
A retrospective analysis of antimicrobial resistance in pathogenic<i>Escherichia coli</i>and<i>Salmonella</i>spp. isolates from poultry in Uganda,https://doi.org/10.1080/23144599.2021.1926056
Developing Novel Host-Based Therapies Targeting Microbicidal Responses in Macrophages and Neutrophils to Combat Bacterial Antimicrobial Resistance,https://doi.org/10.3389/fimmu.2020.00786
"Antimicrobial resistance in patients with suspected urinary tract infections in primary care in Assam, India",https://doi.org/10.1093/jacamr/dlab164
Antimicrobial Resistance Spectrum Conferred by pRErm46 of Emerging Macrolide (Multidrug)-Resistant Rhodococcus equi,https://doi.org/10.1128/jcm.01149-21
Using ‘smart regulation’ to tackle antimicrobial resistance in low-income and middle-income countries,https://doi.org/10.1136/bmjgh-2019-001864
"Factors Influencing Antibiotic Prescribing Behavior and Understanding of Antimicrobial Resistance Among Veterinarians in Assam, India",https://doi.org/10.3389/fvets.2022.864813
Tackling antimicrobial resistance in primary care facilities across Pakistan: Current challenges and implications for the future,https://doi.org/10.1016/j.jiph.2023.10.046
The dissolvable bead: A novel in vitro biofilm model for evaluating antimicrobial resistance,https://doi.org/10.1016/j.mimet.2017.08.020
Antimicrobial resistance in animal agriculture: understanding user attitudes and behaviours,https://doi.org/10.1136/vr.j5142
"Association of health, nutrition, and socioeconomic variables with global antimicrobial resistance: a modelling study",https://doi.org/10.1016/s2542-5196(23)00213-9
Epidemiology and Ethics of Antimicrobial Resistance in Animals,https://doi.org/10.1007/978-3-030-27874-8_7
HAM-ART: An optimised culture-free Hi-C metagenomics pipeline for tracking antimicrobial resistance genes in complex microbial communities,https://doi.org/10.1371/journal.pgen.1009776
Advances in Transposon Mutagenesis of Staphylococcus aureus: Insights into Pathogenesis and Antimicrobial Resistance,https://doi.org/10.1016/j.tim.2020.11.003
"Genomic epidemiology of Escherichia coli: antimicrobial resistance through a One Health lens in sympatric humans, livestock and peri-domestic wildlife in Nairobi, Kenya",https://doi.org/10.1186/s12916-022-02677-7
Focussing on resistance to front-line drugs is the most effective way to combat the antimicrobial resistance crisis,https://doi.org/10.1101/498329
Antimicrobial Resistance in the WHO African Region: A Systematic Literature Review 2016–2020,https://doi.org/10.3390/antibiotics13070659
Antimicrobial resistance diagnostics: time to call in the young?,https://doi.org/10.1016/s1473-3099(16)30011-1
Are Food Animals Responsible for Transfer of Antimicrobial-Resistant<i>Escherichia coli</i>or Their Resistance Determinants to Human Populations? A Systematic Review,https://doi.org/10.1089/fpd.2017.2411
"Non-steroidal anti-inflammatory drugs, plant extracts, and characterized microparticles to modulate antimicrobial resistance of epidemic mecA positive S. aureus of dairy origin",https://doi.org/10.1007/s13204-020-01628-z
‘The Mould that Changed the World’: Quantitative and qualitative evaluation of children’s knowledge and motivation for behavioural change following participation in an antimicrobial resistance musical,https://doi.org/10.1371/journal.pone.0240471
System-wide approaches to antimicrobial therapy and antimicrobial resistance in the UK: the AMR-X framework,https://doi.org/10.1016/s2666-5247(24)00003-x
Emerging Resistance to Empiric Antimicrobial Regimens for Pediatric Bloodstream Infections in Malawi (1998–2017),https://doi.org/10.1093/cid/ciy834
"Regulating antimicrobial resistance: market intermediaries, poultry and the audit lock-in",https://doi.org/10.1007/s10460-023-10525-4
The role of the environment in transmission of antimicrobial resistance between humans and animals: a modelling study,https://doi.org/10.1101/2022.05.19.492687
Global trends in antimicrobial resistance on organic and conventional farms,https://doi.org/10.1101/2023.04.07.536071
Threat of Antimicrobial Resistance among Pilgrims with Infectious Diseases during Hajj: Lessons Learnt from COVID-19 Pandemic,https://doi.org/10.3390/antibiotics12081299
Whole Genome Sequence Analysis Reveals Lower Diversity and Frequency of Acquired Antimicrobial Resistance (AMR) Genes in E. coli From Dairy Herds Compared With Human Isolates From the Same Region of Central Zambia,https://doi.org/10.3389/fmicb.2019.01114
Assignment of virus and antimicrobial resistance genes to microbial hosts in a complex microbial community by combined long-read assembly and proximity ligation,https://doi.org/10.1101/491175
Resistance to change: AMR gene dynamics on a commercial pig farm with high antimicrobial usage,https://doi.org/10.1038/s41598-020-58659-3
Seasonal Azithromycin Use in Paediatric Protracted Bacterial Bronchitis Does Not Promote Antimicrobial Resistance but Does Modulate the Nasopharyngeal Microbiome,https://doi.org/10.3390/ijms242216053
ONE HEALTH APPROACHES TO TACKLING ANTIMICROBIAL RESISTANCE,https://doi.org/10.1016/j.soh.2024.100082
Bacterial Resistance to Antimicrobials,https://doi.org/10.1093/jac/dkf056
“The Mould that Changed the World”: a quantitative and qualitative evaluation of knowledge and behavioural change in children in the UK following participation in a musical about antimicrobial resistance,https://doi.org/10.1016/s0140-6736(19)32844-2
"CRISPR-Cas Systems in the Fight Against Antimicrobial Resistance: Current Status, Potentials, and Future Directions",https://doi.org/10.2147/idr.s494327
Effect of the duration of antimicrobial exposure on the development of antimicrobial resistance (AMR) for macrolide antibiotics: protocol for a systematic review with a network meta-analysis,https://doi.org/10.1186/s13643-018-0917-0
Interventional research to tackle antimicrobial resistance in Low Middle Income Countries in the era of the COVID-19 pandemic: lessons in resilience from an international consortium,https://doi.org/10.1016/j.ijid.2022.02.013
Author Correction: Genomic analysis of sewage from 101 countries reveals global landscape of antimicrobial resistance,https://doi.org/10.1038/s41467-023-35890-w
Antimicrobial Usage and Resistance in Makkah Region Hospitals: A Regional Point Prevalence Survey of Public Hospitals,https://doi.org/10.3390/ijerph19010254
Changes in resistance among coliform bacteraemia associated with a primary care antimicrobial stewardship intervention: A population-based interrupted time series study,https://doi.org/10.1371/journal.pmed.1002825
Characterization of Extended Spectrum Beta-Lactamases (ESBL) Producing <i>Escherichia coli</i> Isolates from Surface Water Adjacent to Pharmaceutical Industries in Bangladesh: Antimicrobial Resistance and Virulence Pattern,https://doi.org/10.48022/mbl.2305.05006
Health systems appraisal of the response to antimicrobial resistance in low‐ and middle‐income countries in relation to <scp>COVID</scp>‐19: Application of the <scp>WHO</scp> building blocks,https://doi.org/10.1111/1758-5899.13262
A review of the predictors of antimicrobial use and resistance in European food animal production,https://doi.org/10.3389/frabi.2023.1209552
Combining antibiotics to tackle antimicrobial resistance,https://doi.org/10.1038/s41564-025-01969-x
Conference report of the 2024 Antimicrobial Resistance Meeting,https://doi.org/10.1038/s44259-024-00058-z
Pangenomic analysis of Staphylococcus pseudintermedius to better understand antimicrobial resistance profiles,https://doi.org/10.1099/acmi.ac2019.po0562
Assessing the impact of antimicrobial resistance policies on antibiotic use and antimicrobial resistance-associated mortality in children and adults in low and middle-income countries: a global analysis,https://doi.org/10.1136/bmjph-2023-000511
Antimicrobial Resistance Gene Profiles in Communities Selected with Novel and Previously Encountered Antibiotics,https://doi.org/10.54254/2753-8818/2025.20458
Secrets of the hospital underbelly: patterns of abundance of antimicrobial resistance genes in hospital wastewater vary by specific antimicrobial and bacterial family,https://doi.org/10.1101/19006858
Correction to: The rumen microbiome as a reservoir of antimicrobial resistance and pathogenicity genes is directly affected by diet in beef cattle,https://doi.org/10.1186/s40168-019-0764-9
The antibiotic procurement saga: a long-neglected stewardship target to combat antimicrobial resistance in Pakistan,https://doi.org/10.1186/s13756-025-01521-w
‘The Mould that Changed the World’: Quantitative and Qualitative Analysis of Knowledge and Behavioural Change following Participation in an Antimicrobial Resistance Musical,https://doi.org/10.1099/acmi.fis2019.po0032
Assessing the Associations between Antimicrobial Resistance Policies and Antibiotic Use in Low and Middle Income Countries: A Global Analysis,https://doi.org/10.2139/ssrn.4506558
HAM-ART: An optimised culture-free Hi-C metagenomics pipeline for tracking antimicrobial resistance genes in complex microbial communities,https://doi.org/10.1101/2021.08.16.456459
Opportunities and challenges in antimicrobial resistance policy including animal production systems and humans across stakeholders in Argentina: a context and qualitative analysis,https://doi.org/10.1136/bmjopen-2023-082156
Antimicrobial resistance profiles and molecular epidemiology of <i>Klebsiella pneumoniae</i> isolates from Scottish bovine mastitis cases,https://doi.org/10.1017/s0950268824001754
"Engaging rural communities in Bangladesh to tackle antimicrobial resistance through the Community Dialogue Approach: a process evaluation protocol for COSTAR project in Cumilla, Bangladesh",https://doi.org/10.3389/fpubh.2024.1466780
Understanding the interests of academics from diverse disciplines to identify the prospective focus for a UK-based transdisciplinary network involving farm-to-fork stakeholders on antimicrobial resistance in agrifood systems: An online survey,https://doi.org/10.1016/j.onehlt.2024.100884
Boston: mechanisms of antimicrobial drug resistance,https://doi.org/10.1093/jac/6.3.303
Resisting the resistance. Is there progress in maintaining antimicrobial efficacy?,https://doi.org/10.1002/9781119278368.ch7.3
Editorial: Molecular mechanisms of resistance to “last resort” antimicrobials in Enterobacterales,https://doi.org/10.3389/fcimb.2024.1429200
Farm-level drivers of antimicrobial use and resistance in livestock: An evidence synthesis,https://doi.org/10.1016/j.anscip.2023.01.387
Antimicrobial Blue Light Reduces Human-Wound Pathogens’ Resistance to Tetracycline-Class Antibiotics in Biofilms,https://doi.org/10.3390/cells14030219
